0	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it sometimes was
1	1	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	yes
2	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it never was
3	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a month
4	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion weeks
5	1	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of years
6	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	400 hours
7	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 seconds
8	1	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 years
9	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion years
10	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion hours
11	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of hours
12	1	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	christianity was the majority religion
13	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	the end of white-minority rule
14	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	he emerged as the heir apparent
15	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as a peacemaker
16	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the last two decades several times
17	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	never
18	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	several weeks later
19	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	it acquire a majority interest
20	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as the heir apparent
21	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the end of white-minority rule
22	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	a dozen times
23	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	first sunday
24	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	later sunday
25	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	sunday
26	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th month
27	0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th day
28	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an year
29	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	6 hours
30	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an hour
31	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an week
32	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 hours
33	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a hour
34	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 seconds
35	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the day
36	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the morning
37	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an second
38	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 weeks
39	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a second
40	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a year
41	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the early morning
42	1	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	tara sailed the ship to safety
43	0	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	she drove for a while
